"decimalLongitude","decimalLatitude","species"
4639954.0343356,4015435.02614778,"Campanula latifolia"
4703162.46005182,4263484.10393865,"Campanula latifolia"
4699814.10325063,4394878.52748035,"Campanula latifolia"
4526322.24248357,3667628.40842818,"Campanula latifolia"
4657839.05223751,4265883.07299595,"Campanula latifolia"
4649359.69240678,3930052.89815526,"Campanula latifolia"
4528701.45293303,3901958.11929556,"Campanula latifolia"
4794696.58288131,4067590.8196854,"Campanula latifolia"
4507251.6082986,3891825.19496608,"Campanula latifolia"
4635646.99832699,4390625.92202825,"Campanula latifolia"
4794902.22428738,4042593.32010402,"Campanula latifolia"
4619748.58813558,3970505.46693639,"Campanula latifolia"
4545080.81969445,4423434.4783741,"Campanula latifolia"
4600071.6191306,4020965.78089008,"Campanula latifolia"
4621519.62685875,4290262.56453932,"Campanula latifolia"
4748750.15434046,4449434.76876471,"Campanula latifolia"
4521615.53414905,4201326.07018092,"Campanula latifolia"
4571755.17546926,4230833.7407364,"Campanula latifolia"
4564846.52073857,3612143.72517218,"Campanula latifolia"
4453161.44427118,4078541.0320919,"Campanula latifolia"
4573541.46201793,3629706.11461955,"Campanula latifolia"
4531482.61574659,3629564.58427635,"Campanula latifolia"
4719704.90705234,4404751.85563001,"Campanula latifolia"
4514690.60649187,3657559.56380326,"Campanula latifolia"
4827962.23623187,4563410.53433528,"Campanula latifolia"
4701887.34435504,4281193.11694215,"Campanula latifolia"
4692818.57769787,4385998.98194413,"Campanula latifolia"
4450628.5374195,3851613.20738897,"Campanula latifolia"
4625199.93316023,3983395.50794676,"Campanula latifolia"
4437838.05687733,3843824.79353585,"Campanula latifolia"
4643410.23353056,3968439.1209963,"Campanula latifolia"
4613007.27545274,4056753.85544502,"Campanula latifolia"
4533877.66025875,3898707.87894635,"Campanula latifolia"
4628098.57642683,4011856.84798984,"Campanula latifolia"
4801628.50452543,4583214.91246217,"Campanula latifolia"
4514672.12300632,3620562.29424463,"Campanula latifolia"
4576156.88541219,3730519.71184513,"Campanula latifolia"
4566893.19404347,3857897.311684,"Campanula latifolia"
4673236.41379229,4137318.63758201,"Campanula latifolia"
4461368.02180196,3916970.46128386,"Campanula latifolia"
4595584.65575014,4538826.19225824,"Campanula latifolia"
4394702.99346667,3937529.65648461,"Campanula latifolia"
4644221.4702728,3811922.98278625,"Campanula latifolia"
4590289.25097598,3901828.26217636,"Campanula latifolia"
4341223.92085241,4109970.31752807,"Campanula latifolia"
4409139.96187782,4666368.45558431,"Campanula latifolia"
4485079.16919816,4864656.80354019,"Campanula latifolia"
4432248.705645,4747294.13109994,"Campanula latifolia"
4401229.43779811,4050512.62878391,"Campanula latifolia"
4407257.80422329,4599258.54501517,"Campanula latifolia"
4134799.50397178,4217854.18670676,"Campanula latifolia"
4309855.32290622,4000326.74334234,"Campanula latifolia"
3472127.46898836,3316614.68249962,"Campanula latifolia"
3511510.9975479,3310042.10309022,"Campanula latifolia"
3489839.75935428,3301461.85731775,"Campanula latifolia"
3487549.90246529,3312007.94879334,"Campanula latifolia"
3493457.46197508,3311022.11819053,"Campanula latifolia"
3499694.98290655,3312013.95121728,"Campanula latifolia"
3488522.02201825,3293550.59927464,"Campanula latifolia"
3484591.50868903,3306403.10749566,"Campanula latifolia"
3490828.69383616,3307395.23798899,"Campanula latifolia"
3486240.67862461,3316292.2251656,"Campanula latifolia"
3491829.51887693,3325523.47958487,"Campanula latifolia"
